V1	V2	V3	V4	V5	V6	V7	V8	V9	V10	V11	V12	V13
13	RR00295012	hsa-let-7a-5p	miRNA	Homo sapiens	CCND2	mRNA	Homo sapiens	miRBase:MIMAT0000062	NCBI:894	0.6905	Western blot//RT-PCR//Reporter assay//qRT-PCR//Luciferase reporter assay	HITS-CLIP//Microarray//CLIP-seq//PAR-CLIP	Cupid//MirTarget//Bayesian target prediction algorithm
14	RR00297665	hsa-let-7a-5p	miRNA	Homo sapiens	CCR7	mRNA	Homo sapiens	miRBase:MIMAT0000062	NCBI:1236	0.607	Northern blot//Western blot//RT-PCR//Reporter assay//qRT-PCR//Luciferase reporter assay	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
17	RR00518781	hsa-miR-101-3p	miRNA	Homo sapiens	EZH2	mRNA	Homo sapiens	miRBase:MIMAT0000099	NCBI:2146	0.882	Northern blot//qPCR//Western blot//RT-PCR//RIP//Immunoblot//Reporter assay//ChIP//Dual luciferase reporter assay//IHC//qRT-PCR//Luciferase reporter assay	HITS-CLIP//miRNA array//CLIP-seq//CLASH//PAR-CLIP//Microarray	Bayesian target prediction algorithm//TargetScan//Cupid//miRanda//MirTarget
18	RR00573466	hsa-miR-101-3p	miRNA	Homo sapiens	FOS	mRNA	Homo sapiens	miRBase:MIMAT0000099	NCBI:2353	0.7285	qPCR//Western blot//RT-PCR//Reporter assay//Luciferase reporter assay//IHC//qRT-PCR//AGO-CLIP	HITS-CLIP//miRNA array//CLIP-seq//PAR-CLIP	Bayesian target prediction algorithm//TargetScan//Cupid//miRanda//MirTarget
19	RR00887844	hsa-miR-101-3p	miRNA	Homo sapiens	MALAT1	lncRNA	Homo sapiens	miRBase:MIMAT0000099	NCBI:378938	0.7494	qPCR//Western blot//RIP//qRT-PCR//CLIP//Dual luciferase reporter assay//IHC//ISH//Luciferase reporter assay//IFS	N/A	N/A
20	RR00990499	hsa-miR-101-3p	miRNA	Homo sapiens	NEAT1	lncRNA	Homo sapiens	miRBase:MIMAT0000099	NCBI:283131	0.6993	qPCR//Western blot//Dual luciferase reporter assay//qRT-PCR//Luciferase reporter assay	HITS-CLIP//PAR-CLIP	TargetScan//miRanda
21	RR01348403	hsa-miR-101-3p	miRNA	Homo sapiens	SOX9	mRNA	Homo sapiens	miRBase:MIMAT0000099	NCBI:6662	0.6325	qPCR//Western blot//RT-PCR//Reporter assay//qRT-PCR//Luciferase reporter assay	CLIP-seq//Microarray	Bayesian target prediction algorithm//TargetScan//Cupid//miRanda//MirTarget
22	RR01377022	hsa-miR-101-3p	miRNA	Homo sapiens	SUB1	circRNA	Homo sapiens	miRBase:MIMAT0000099	NCBI:855055	0.6389	N/A	HITS-CLIP//PAR-CLIP	N/A
23	RR01376951	hsa-miR-101-3p	miRNA	Homo sapiens	SUB1	mRNA	Homo sapiens	miRBase:MIMAT0000099	NCBI:10923	0.6764	N/A	HITS-CLIP//NGS//CLIP-seq//Sequencing//PAR-CLIP	TargetScan//miRanda//MirTarget//Cupid
24	RR00155756	hsa-miR-103a-3p	miRNA	Homo sapiens	ATF7	mRNA	Homo sapiens	miRBase:MIMAT0000101	NCBI:11016	0.6884	N/A	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget
25	RR00439832	hsa-miR-103a-3p	miRNA	Homo sapiens	DICER1	mRNA	Homo sapiens	miRBase:MIMAT0000101	NCBI:23405	0.742	Western blot//RT-PCR//Reporter assay//Dual luciferase reporter assay//IHC//qRT-PCR//Luciferase reporter assay	HITS-CLIP//NGS//CLIP-seq//Sequencing//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
26	RR01151433	hsa-miR-103a-3p	miRNA	Homo sapiens	PTEN	mRNA	Homo sapiens	miRBase:MIMAT0000101	NCBI:5728	0.6254	qPCR//Western blot//RT-PCR//Reporter assay//Dual luciferase reporter assay//Luciferase reporter assay	HITS-CLIP//CLIP-seq//PAR-CLIP	Cupid//miRanda
34	RR00311638	hsa-miR-106b-5p	miRNA	Homo sapiens	CDKN1A	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:1026	0.7838	Immunoassay//Western blot//RT-PCR//Reporter assay//ChIP//qRT-PCR//Luciferase reporter assay	HITS-CLIP//Microarray//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
35	RR01151378	hsa-miR-106b-5p	miRNA	Homo sapiens	PTEN	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:5728	0.7382	Immunoassay//qPCR//Western blot//RT-PCR//Reporter assay//ELISA//IHC//qRT-PCR//Luciferase reporter assay//IFS	HITS-CLIP//Microarray//CLIP-seq	Cupid//miRanda//Bayesian target prediction algorithm
36	RR01201621	hsa-miR-106b-5p	miRNA	Homo sapiens	RBL2	mRNA	Homo sapiens	miRBase:MIMAT0000680	NCBI:5934	0.7002	Immunoassay//MTT assay//Western blot//RT-PCR//Reporter assay//Dual luciferase reporter assay//qRT-PCR//Luciferase reporter assay	HITS-CLIP//Microarray//CLIP-seq//PAR-CLIP	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
38	RR00721983	hsa-miR-10b-5p	miRNA	Homo sapiens	HOXD10	mRNA	Homo sapiens	miRBase:MIMAT0000254	NCBI:3236	0.727	Western blot//RT-PCR//Immunoblot//qRT-PCR//Reporter assay//ICC//Dual luciferase reporter assay//IHC//ISH//Luciferase reporter assay	CLIP-seq	TargetScan//Cupid//miRanda//MirTarget
40	RR00742770	hsa-miR-122-5p	miRNA	Homo sapiens	IGF1R	mRNA	Homo sapiens	miRBase:MIMAT0000421	NCBI:3480	0.6553	qPCR//Western blot//RT-PCR//Reporter assay//qRT-PCR//Luciferase reporter assay	HITS-CLIP//CLASH//CLIP-seq//PAR-CLIP	N/A
43	RR00310596	hsa-miR-124-3p	miRNA	Homo sapiens	CDK4	mRNA	Homo sapiens	miRBase:MIMAT0000422	NCBI:1019	0.73	Western blot//Reporter assay//Dual luciferase reporter assay//Luciferase reporter assay//qRT-PCR//AGO-CLIP	HITS-CLIP//CLIP-seq//CLASH//PAR-CLIP//Microarray	TargetScan//miRanda//MirTarget//Cupid
47	RR01335943	hsa-miR-124-3p	miRNA	Homo sapiens	SNAI2	mRNA	Homo sapiens	miRBase:MIMAT0000422	NCBI:6591	0.6499	qPCR//MTT assay//Western blot//RT-PCR//Immunoblot//Reporter assay//Dual luciferase reporter assay//qRT-PCR//Luciferase reporter assay//IFS	HITS-CLIP//Microarray	Bayesian target prediction algorithm//TargetScan//Cupid//miRanda//MirTarget
48	RR01348438	hsa-miR-124-3p	miRNA	Homo sapiens	SOX9	mRNA	Homo sapiens	miRBase:MIMAT0000422	NCBI:6662	0.6063	Dual luciferase reporter assay//Luciferase reporter assay//Reporter assay	HITS-CLIP//CLIP-seq//PAR-CLIP	TargetScan//Bayesian target prediction algorithm
49	RR01348540	hsa-miR-124-3p	miRNA	Homo sapiens	SP1	mRNA	Homo sapiens	miRBase:MIMAT0000422	NCBI:6667	0.6445	qPCR//PCR//Luciferase reporter assay//Western blot	HITS-CLIP//Microarray//CLIP-seq//PAR-CLIP	TargetScan//MirTarget//Cupid//Bayesian target prediction algorithm
51	RR01368743	hsa-miR-124-3p	miRNA	Homo sapiens	STAT3	mRNA	Homo sapiens	miRBase:MIMAT0000422	NCBI:6774	0.75	Immunoassay//qPCR//Western blot//RT-PCR//RIP//Reporter assay//ELISA//IHC//qRT-PCR//Luciferase reporter assay//IFS	CLIP-seq	Bayesian target prediction algorithm//TargetScan//Cupid//miRanda//MirTarget
58	RR00041155	hsa-miR-126-3p	miRNA	Homo sapiens	ADAM9	mRNA	Homo sapiens	miRBase:MIMAT0000445	NCBI:8754	0.6431	qPCR//Western blot//RT-PCR//qRT-PCR//Reporter assay//Luciferase reporter assay//IHC//ISH//AGO-CLIP	CLIP-seq//Microarray//miRNA array	TargetScan//miRanda//MirTarget//PicTar
60	RR01098351	hsa-miR-126-3p	miRNA	Homo sapiens	PIK3R2	mRNA	Homo sapiens	miRBase:MIMAT0000445	NCBI:5296	0.6806	qPCR//MTT assay//Western blot//RT-PCR//Reporter assay//ICC//Copurification//IHC//qRT-PCR//Luciferase reporter assay	CLIP-seq//Microarray	TargetScan//miRanda//MirTarget//Cupid
65	RR00226493	hsa-miR-128-3p	miRNA	Homo sapiens	BMI1	mRNA	Homo sapiens	miRBase:MIMAT0000424	NCBI:648	0.7028	Northern blot//Western blot//RT-PCR//Reporter assay//IHC//ISH//Luciferase reporter assay	CLIP-seq//Microarray	Cupid//miRanda//MirTarget//Bayesian target prediction algorithm
69	RR00713733	hsa-miR-129-5p	miRNA	Homo sapiens	HMGB1	mRNA	Homo sapiens	miRBase:MIMAT0000242	NCBI:3146	0.6784	qPCR//MTT assay//Western blot//RT-PCR//Reporter assay//Dual luciferase reporter assay//IHC//qRT-PCR//Luciferase reporter assay	CLIP-seq	TargetScan//miRanda//MirTarget
70	RR00889491	hsa-miR-129-5p	miRNA	Homo sapiens	MALAT1	lncRNA	Homo sapiens	miRBase:MIMAT0000242	NCBI:378938	0.6338	qPCR//MTT assay//Western blot//RNA interference//RT-PCR//AGO-CLIP//RIP//Dual luciferase reporter assay//qRT-PCR//Luciferase reporter assay	N/A	N/A
